method,infection,connectivity,removed_edges,seed
Threshold,0.175,0.868421052631579,20,1036
Top-K,0.4,0.8552631578947368,22,1036
Dynamic RL,0.525,0.868421052631579,20,1036
No Pruning,0.825,1.0,0,1037
Random,0.6174999999999999,0.868421052631579,20,1037
Degree Centrality,0.8,0.868421052631579,20,1037
Betweenness Centrality,0.6,0.868421052631579,20,1037
Threshold,0.625,0.868421052631579,20,1037
Top-K,0.3,0.8552631578947368,22,1037
Dynamic RL,0.625,0.868421052631579,20,1037
No Pruning,0.45,1.0,0,1038
Random,0.44749999999999995,0.868421052631579,20,1038
Degree Centrality,0.6,0.868421052631579,20,1038
Betweenness Centrality,0.425,0.868421052631579,20,1038
Threshold,0.55,0.868421052631579,20,1038
Top-K,0.675,0.868421052631579,20,1038
Dynamic RL,0.15,0.868421052631579,20,1038
No Pruning,0.5,1.0,0,1039
Random,0.6174999999999999,0.868421052631579,20,1039
Degree Centrality,0.075,0.868421052631579,20,1039
Betweenness Centrality,0.575,0.868421052631579,20,1039
Threshold,0.325,0.868421052631579,20,1039
Top-K,0.9,0.8486842105263158,23,1039
Dynamic RL,0.4,0.868421052631579,20,1039
